epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1218.33,2.24796,3.43067,2.89165,0.30801,0.07143,0.06587,0.02476,2.33127,4.63518,3.12816,0.000660045,0.000660045,0.000660045
43,1246.04,2.33025,3.335,2.86524,0.34164,0.07143,0.07898,0.02827,2.32661,4.11709,3.13483,0.000649046,0.000649046,0.000649046
44,1273.75,2.20592,3.34593,2.79899,0.28452,0.22857,0.0516,0.01759,2.36968,4.01361,3.34267,0.000638047,0.000638047,0.000638047
45,1300.94,2.31733,3.3995,2.9123,0.29206,0.08929,0.04548,0.01732,2.34034,4.12065,3.28132,0.000627048,0.000627048,0.000627048
46,1327.93,2.18267,3.39876,2.8065,0.29811,0.14286,0.04994,0.02005,2.24729,4.23886,3.16656,0.000616049,0.000616049,0.000616049
47,1353.88,2.15831,3.34267,2.81663,0.33445,0.19643,0.08699,0.0288,2.18795,3.91553,3.02045,0.000605051,0.000605051,0.000605051
48,1381.8,2.30466,3.35789,2.84666,0.28565,0.47143,0.07434,0.02427,2.25372,4.00688,3.00396,0.000594052,0.000594052,0.000594052
49,1406.77,2.28523,3.43124,2.81199,0.28827,0.47143,0.08442,0.02835,2.24084,3.9207,2.98164,0.000583053,0.000583053,0.000583053
50,1437.84,2.29473,3.26914,2.86613,0.37902,0.125,0.1074,0.03905,2.1989,3.96834,2.94493,0.000572054,0.000572054,0.000572054
51,1461.88,2.29496,3.34578,2.83532,0.47246,0.175,0.12359,0.03009,2.30534,4.00752,3.06315,0.000561055,0.000561055,0.000561055
52,1486.37,2.18512,3.23437,2.78701,0.38645,0.19286,0.16322,0.04283,2.35621,4.03162,3.14593,0.000550056,0.000550056,0.000550056
53,1511.37,2.14303,3.30988,2.7437,0.38208,0.23451,0.15506,0.0435,2.38111,4.0802,3.1682,0.000539057,0.000539057,0.000539057
54,1537.48,2.21388,3.27895,2.80655,0.29664,0.125,0.08562,0.02952,2.45366,4.03686,3.26836,0.000528058,0.000528058,0.000528058
55,1563.82,2.14703,3.16467,2.79771,0.28604,0.125,0.07511,0.02182,2.40358,4.11538,3.23078,0.000517059,0.000517059,0.000517059
56,1588.87,1.99784,3.09969,2.6931,0.29552,0.1847,0.08603,0.02989,2.34056,3.84731,3.16182,0.00050606,0.00050606,0.00050606
57,1613.98,2.02186,3.18136,2.67358,0.29779,0.18929,0.07137,0.02715,2.3433,3.71197,3.15636,0.000495062,0.000495062,0.000495062
58,1645.23,2.09213,3.16092,2.69785,0.28781,0.25714,0.10199,0.03828,2.23852,3.61201,3.03602,0.000484063,0.000484063,0.000484063
59,1675.1,2.07712,3.165,2.66162,0.33444,0.12143,0.11837,0.04451,2.23508,3.60374,3.02654,0.000473064,0.000473064,0.000473064
60,1704.48,2.02222,3.07615,2.6717,0.32969,0.07143,0.12404,0.05075,2.45853,3.83205,3.29825,0.000462065,0.000462065,0.000462065
61,1734.66,2.15362,3.13869,2.68934,0.40138,0.07143,0.12061,0.04498,2.48536,3.86697,3.36134,0.000451066,0.000451066,0.000451066
62,1767.22,2.03255,3.1567,2.67956,0.65989,0.03571,0.16523,0.04992,2.41967,3.73879,3.26258,0.000440067,0.000440067,0.000440067
63,1800,2.09266,3.07628,2.66464,0.35675,0.10714,0.12944,0.05341,2.20985,3.66359,3.05311,0.000429068,0.000429068,0.000429068
64,1832.98,2.03764,3.03567,2.63249,0.59456,0.10714,0.17106,0.06126,2.3104,3.61005,3.13034,0.000418069,0.000418069,0.000418069
65,1863.53,2.09282,3.12974,2.68239,0.44922,0.15714,0.17503,0.05702,2.37083,3.54666,3.18803,0.00040707,0.00040707,0.00040707
66,1898.85,2.07978,3.04754,2.63441,0.36909,0.175,0.15644,0.0482,2.39349,3.54685,3.21968,0.000396071,0.000396071,0.000396071
67,1942.55,2.05612,3.01812,2.66943,0.36627,0.13929,0.15136,0.04933,2.2354,3.51382,3.04544,0.000385073,0.000385073,0.000385073
68,1974.5,1.96265,3.0441,2.57812,0.40448,0.25714,0.14244,0.04945,2.19875,3.62395,3.02355,0.000374074,0.000374074,0.000374074
69,2006.17,1.96916,2.96813,2.58914,0.5816,0.06786,0.14984,0.05296,2.19055,3.6686,3.06095,0.000363075,0.000363075,0.000363075
70,2036.55,2.02009,3.08077,2.65464,0.57703,0.13702,0.1367,0.04559,2.22371,3.72817,3.13911,0.000352076,0.000352076,0.000352076
71,2068.36,2.04359,2.9799,2.59629,0.46123,0.20357,0.15978,0.0616,2.19942,3.56051,3.05509,0.000341077,0.000341077,0.000341077
72,2098.58,1.86349,2.91475,2.556,0.55521,0.25714,0.19307,0.07655,2.17142,3.48437,3.008,0.000330078,0.000330078,0.000330078
73,2129.17,1.97125,2.90696,2.51053,0.63362,0.18241,0.17368,0.06462,2.18477,3.53241,3.02016,0.000319079,0.000319079,0.000319079
74,2159.86,1.96265,3.00742,2.54034,0.32813,0.18929,0.13629,0.05012,2.18181,3.60323,3.04186,0.00030808,0.00030808,0.00030808
75,2190.79,1.94344,2.96589,2.59257,0.3954,0.26071,0.17092,0.06004,2.19536,3.47921,3.08018,0.000297081,0.000297081,0.000297081
76,2222.3,1.97723,2.9733,2.58393,0.53394,0.24286,0.22005,0.07103,2.26574,3.36581,3.17328,0.000286083,0.000286083,0.000286083
77,2255.38,1.76249,2.80274,2.46926,0.52904,0.225,0.20933,0.06782,2.28256,3.39117,3.19619,0.000275084,0.000275084,0.000275084
78,2286.21,1.90229,2.94455,2.56887,0.52415,0.23394,0.24445,0.08282,2.28619,3.36142,3.16356,0.000264085,0.000264085,0.000264085
79,2317.03,1.92048,2.83988,2.50458,0.44855,0.22696,0.18659,0.06841,2.23054,3.40036,3.08346,0.000253086,0.000253086,0.000253086
80,2348.45,1.94686,2.87857,2.56318,0.34623,0.21429,0.1435,0.0532,2.22834,3.44333,3.03686,0.000242087,0.000242087,0.000242087
81,2380.99,1.89053,2.82612,2.49833,0.34216,0.16834,0.1415,0.0468,2.24722,3.46876,3.05733,0.000231088,0.000231088,0.000231088
82,2412.68,1.90551,2.77744,2.48907,0.40075,0.26071,0.10577,0.03667,2.35464,3.51962,3.19362,0.000220089,0.000220089,0.000220089
83,2443.4,1.83885,2.86083,2.46939,0.37465,0.275,0.12418,0.04627,2.43677,3.55171,3.32744,0.00020909,0.00020909,0.00020909
84,2474.11,1.94124,2.81914,2.49654,0.40369,0.275,0.13486,0.04891,2.5046,3.5095,3.40571,0.000198091,0.000198091,0.000198091
85,2509.3,1.81586,2.79506,2.43554,0.41074,0.31071,0.14512,0.05427,2.4925,3.44606,3.38345,0.000187092,0.000187092,0.000187092
86,2544.9,1.89448,2.84136,2.51916,0.38964,0.26212,0.14053,0.05121,2.40453,3.4156,3.26348,0.000176094,0.000176094,0.000176094
87,2578.12,1.82717,2.7747,2.46003,0.33513,0.125,0.12224,0.04652,2.3296,3.43295,3.15043,0.000165095,0.000165095,0.000165095
88,2608.87,1.83966,2.80967,2.4945,0.35126,0.125,0.1224,0.0454,2.2765,3.49548,3.09024,0.000154096,0.000154096,0.000154096
89,2640.45,1.80461,2.69096,2.41632,0.38938,0.125,0.13129,0.04633,2.27543,3.48638,3.10288,0.000143097,0.000143097,0.000143097
90,2673.54,1.81901,2.72571,2.43579,0.405,0.17154,0.14087,0.04685,2.2894,3.46931,3.14791,0.000132098,0.000132098,0.000132098
91,2707.46,1.81503,3.16046,2.56295,0.41515,0.15714,0.16142,0.05573,2.29069,3.43175,3.15748,0.000121099,0.000121099,0.000121099
92,2738.05,1.88864,3.08573,2.65478,0.40955,0.21071,0.15133,0.05647,2.27184,3.40227,3.13612,0.0001101,0.0001101,0.0001101
93,2768.73,1.84765,3.0057,2.59864,0.35644,0.22857,0.14764,0.0538,2.27162,3.43689,3.1256,9.91012e-05,9.91012e-05,9.91012e-05
94,2799.35,1.76491,3.00688,2.60349,0.37225,0.16071,0.13626,0.04942,2.27507,3.5032,3.11432,8.81023e-05,8.81023e-05,8.81023e-05
95,2830.96,1.82191,2.9686,2.62534,0.34573,0.19643,0.13336,0.0497,2.27487,3.4792,3.11902,7.71034e-05,7.71034e-05,7.71034e-05
96,2863.29,1.76499,2.9034,2.57409,0.36694,0.28214,0.14552,0.05506,2.26743,3.47693,3.13593,6.61045e-05,6.61045e-05,6.61045e-05
97,2893.39,1.85396,2.92349,2.63077,0.3839,0.3,0.14391,0.05572,2.26286,3.44746,3.13684,5.51056e-05,5.51056e-05,5.51056e-05
98,2924.05,1.75806,2.92103,2.58798,0.37066,0.31144,0.14023,0.05755,2.23771,3.38298,3.11165,4.41067e-05,4.41067e-05,4.41067e-05
99,2957.07,1.71736,2.82945,2.55944,0.39633,0.31429,0.15403,0.06167,2.2021,3.35707,3.08368,3.31078e-05,3.31078e-05,3.31078e-05
100,2989.1,1.654,2.85835,2.47978,0.40485,0.27857,0.15416,0.06462,2.18388,3.34212,3.05941,2.21089e-05,2.21089e-05,2.21089e-05
